iEL,1,2,3,4
39379,20492,20491,8942,8940
39380,2839,8894,20492,14269
39381,14269,20492,8940,2870
39382,8897,2839,14269,20493
39383,20493,14269,2870,8943
39384,2840,8897,20493,14419
39385,14419,20493,8943,2871
39386,8898,2840,14419,20494
39387,20494,14419,2871,8944
39388,2841,8898,20494,14569
39389,14569,20494,8944,2872
39390,8899,2841,14569,20495
39391,2842,8899,20495,14719
39392,14719,20495,8945,2873
39393,20495,14569,2872,8945
39394,8900,2842,14719,20496
39395,20496,14719,2873,8946
39396,2843,8900,20496,14869
39397,14869,20496,8946,2874
39398,8901,2843,14869,20497
39399,20497,14869,2874,8947
39400,2844,8901,20497,15019
39401,15019,20497,8947,2875
39402,8902,2844,15019,20498
39403,20498,15019,2875,8948
39404,2845,8902,20498,15169
39405,15169,20498,8948,2876
39406,8903,2845,15169,20499
39407,20499,15169,2876,8949
39408,2846,8903,20499,15319
39409,15319,20499,8949,2877
39410,8904,2846,15319,20500
39411,2847,8904,20500,15469
39412,15469,20500,8950,2878
39413,20500,15319,2877,8950
39414,8905,2847,15469,20501
39415,20501,15469,2878,8951
39416,8908,8905,20501,20502
39417,20502,20501,8951,8954
39418,8906,8908,20502,20503
39419,20503,20502,8954,8952
39420,8909,8906,20503,20504
39421,20504,20503,8952,8955
39422,8907,8909,20504,20505
39423,20505,20504,8955,8953
39424,2848,8907,20505,15619
39425,15619,20505,8953,2879
39426,8910,2848,15619,20506
39427,20506,15619,2879,8956
39428,2849,8910,20506,15769
39429,15769,20506,8956,2880
39430,8911,2849,15769,20507
39431,2850,8911,20507,15919
39432,15919,20507,8957,2881
39433,20507,15769,2880,8957
39434,8912,2850,15919,20508
39435,20508,15919,2881,8958
39436,2851,8912,20508,16069
39437,16069,20508,8958,2882
39438,8913,2851,16069,20509
39439,20509,16069,2882,8959
39440,2852,8913,20509,16219
39441,16219,20509,8959,2883
39442,8914,2853,11720,20510
39443,20510,11720,2884,8960
39444,2854,8914,20510,11870
39445,11870,20510,8960,2885
39446,8915,2854,11870,20511
39447,20511,11870,2885,8961
39448,2855,8915,20511,12020
39449,12020,20511,8961,2886
39450,8916,2855,12020,20512
39451,2856,8916,20512,12170
39452,12170,20512,8962,2887
39453,20512,12020,2886,8962
39454,8917,2856,12170,20513
39455,20513,12170,2887,8963
39456,2857,8917,20513,12320
39457,12320,20513,8963,2888
39458,8918,2857,12320,20514
39459,20514,12320,2888,8964
39460,8921,8918,20514,20515
39461,20515,20514,8964,8967
39462,8919,8921,20515,20516
39463,20516,20515,8967,8965
39464,8922,8919,20516,20517
39465,20517,20516,8965,8968
39466,8920,8922,20517,20518
39467,20518,20517,8968,8966
39468,2858,8920,20518,12470
39469,12470,20518,8966,2889
39470,8923,2858,12470,20519
39471,2859,8923,20519,12620
39472,12620,20519,8969,2890
39473,20519,12470,2889,8969
39474,8924,2859,12620,20520
39475,20520,12620,2890,8970
39476,2860,8924,20520,12770
39477,12770,20520,8970,2891
39478,8925,2860,12770,20521
39479,20521,12770,2891,8971
39480,2861,8925,20521,12920
39481,12920,20521,8971,2892
39482,8926,2861,12920,20522
39483,20522,12920,2892,8972
39484,2862,8926,20522,13070
39485,13070,20522,8972,2893
39486,8927,2862,13070,20523
39487,20523,13070,2893,8973
39488,2863,8927,20523,13220
39489,13220,20523,8973,2894
39490,8928,2863,13220,20524
39491,2864,8928,20524,13370
39492,13370,20524,8974,2895
39493,20524,13220,2894,8974
39494,8929,2864,13370,20525
39495,20525,13370,2895,8975
39496,2865,8929,20525,13520
39497,13520,20525,8975,2896
39498,8930,2865,13520,20526
39499,20526,13520,2896,8976
39500,2866,8930,20526,13670
39501,13670,20526,8976,2897
39502,8931,2866,13670,20527
39503,20527,13670,2897,8977
39504,8934,8931,20527,20528
39505,20528,20527,8977,8980
39506,8932,8934,20528,20529
39507,20529,20528,8980,8978
39508,8935,8932,20529,20530
39509,20530,20529,8978,8981
39510,8933,8935,20530,20531
39511,20531,20530,8981,8979
39512,2867,8933,20531,13820
39513,13820,20531,8979,2898
39514,8936,2867,13820,20532
39515,20532,13820,2898,8982
39516,2868,8936,20532,13970
39517,13970,20532,8982,2899
39518,8937,2868,13970,20533
39519,20533,13970,2899,8983
39520,2869,8937,20533,14120
39521,14120,20533,8983,2900
39522,8938,2869,14120,20534
39523,20534,14120,2900,8984
39524,8941,8938,20534,20535
39525,20535,20534,8984,8987
39526,8939,8941,20535,20536
39527,20536,20535,8987,8985
39528,8942,8939,20536,20537
39529,20537,20536,8985,8988
39530,8940,8942,20537,20538
39531,20538,20537,8988,8986
39532,2870,8940,20538,14270
39533,14270,20538,8986,2901
39534,8943,2870,14270,20539
39535,20539,14270,2901,8989
39536,2871,8943,20539,14420
39537,14420,20539,8989,2902
39538,8944,2871,14420,20540
39539,20540,14420,2902,8990
39540,2872,8944,20540,14570
39541,14570,20540,8990,2903
39542,8945,2872,14570,20541
39543,2873,8945,20541,14720
39544,14720,20541,8991,2904
39545,20541,14570,2903,8991
39546,8946,2873,14720,20542
39547,20542,14720,2904,8992
39548,2874,8946,20542,14870
39549,14870,20542,8992,2905
39550,8947,2874,14870,20543
39551,20543,14870,2905,8993
39552,2875,8947,20543,15020
39553,15020,20543,8993,2906
39554,8948,2875,15020,20544
39555,20544,15020,2906,8994
39556,2876,8948,20544,15170
39557,15170,20544,8994,2907
39558,8949,2876,15170,20545
39559,20545,15170,2907,8995
39560,2877,8949,20545,15320
39561,15320,20545,8995,2908
39562,8950,2877,15320,20546
39563,2878,8950,20546,15470
39564,15470,20546,8996,2909
39565,20546,15320,2908,8996
39566,8951,2878,15470,20547
39567,20547,15470,2909,8997
39568,8954,8951,20547,20548
39569,20548,20547,8997,9000
39570,8952,8954,20548,20549
39571,20549,20548,9000,8998
39572,8955,8952,20549,20550
39573,20550,20549,8998,9001
39574,8953,8955,20550,20551
39575,20551,20550,9001,8999
39576,2879,8953,20551,15620
39577,15620,20551,8999,2910
39578,8956,2879,15620,20552
39579,20552,15620,2910,9002
39580,2880,8956,20552,15770
39581,15770,20552,9002,2911
39582,8957,2880,15770,20553
39583,2881,8957,20553,15920
39584,15920,20553,9003,2912
39585,20553,15770,2911,9003
39586,8958,2881,15920,20554
39587,20554,15920,2912,9004
39588,2882,8958,20554,16070
39589,16070,20554,9004,2913
39590,8959,2882,16070,20555
39591,20555,16070,2913,9005
39592,2883,8959,20555,16220
39593,16220,20555,9005,2914
39594,8960,2884,11721,20556
39595,20556,11721,2915,9006
39596,2885,8960,20556,11871
39597,11871,20556,9006,2916
39598,8961,2885,11871,20557
39599,20557,11871,2916,9007
39600,2886,8961,20557,12021
39601,12021,20557,9007,2917
39602,8962,2886,12021,20558
39603,2887,8962,20558,12171
39604,12171,20558,9008,2918
39605,20558,12021,2917,9008
39606,8963,2887,12171,20559
39607,20559,12171,2918,9009
39608,2888,8963,20559,12321
39609,12321,20559,9009,2919
39610,8964,2888,12321,20560
39611,20560,12321,2919,9010
39612,8967,8964,20560,20561
39613,20561,20560,9010,9013
39614,8965,8967,20561,20562
39615,20562,20561,9013,9011
39616,8968,8965,20562,20563
39617,20563,20562,9011,9014
39618,8966,8968,20563,20564
39619,20564,20563,9014,9012
39620,2889,8966,20564,12471
39621,12471,20564,9012,2920
39622,8969,2889,12471,20565
39623,2890,8969,20565,12621
39624,12621,20565,9015,2921
39625,20565,12471,2920,9015
39626,8970,2890,12621,20566
39627,20566,12621,2921,9016
39628,2891,8970,20566,12771
39629,12771,20566,9016,2922
39630,8971,2891,12771,20567
39631,20567,12771,2922,9017
39632,2892,8971,20567,12921
39633,12921,20567,9017,2923
39634,8972,2892,12921,20568
39635,20568,12921,2923,9018
39636,2893,8972,20568,13071
39637,13071,20568,9018,2924
39638,8973,2893,13071,20569
39639,20569,13071,2924,9019
39640,2894,8973,20569,13221
39641,13221,20569,9019,2925
39642,8974,2894,13221,20570
39643,2895,8974,20570,13371
39644,13371,20570,9020,2926
39645,20570,13221,2925,9020
39646,8975,2895,13371,20571
39647,20571,13371,2926,9021
39648,2896,8975,20571,13521
39649,13521,20571,9021,2927
39650,8976,2896,13521,20572
39651,20572,13521,2927,9022
39652,2897,8976,20572,13671
39653,13671,20572,9022,2928
39654,8977,2897,13671,20573
39655,20573,13671,2928,9023
39656,8980,8977,20573,20574
39657,20574,20573,9023,9026
39658,8978,8980,20574,20575
39659,20575,20574,9026,9024
39660,8981,8978,20575,20576
39661,20576,20575,9024,9027
39662,8979,8981,20576,20577
39663,20577,20576,9027,9025
39664,2898,8979,20577,13821
39665,13821,20577,9025,2929
39666,8982,2898,13821,20578
39667,20578,13821,2929,9028
39668,2899,8982,20578,13971
39669,13971,20578,9028,2930
39670,8983,2899,13971,20579
39671,20579,13971,2930,9029
39672,2900,8983,20579,14121
39673,14121,20579,9029,2931
39674,8984,2900,14121,20580
39675,20580,14121,2931,9030
39676,8987,8984,20580,20581
39677,20581,20580,9030,9033
39678,8985,8987,20581,20582
39679,20582,20581,9033,9031
39680,8988,8985,20582,20583
39681,20583,20582,9031,9034
39682,8986,8988,20583,20584
39683,20584,20583,9034,9032
39684,2901,8986,20584,14271
39685,14271,20584,9032,2932
39686,8989,2901,14271,20585
39687,20585,14271,2932,9035
39688,2902,8989,20585,14421
39689,14421,20585,9035,2933
39690,8990,2902,14421,20586
39691,20586,14421,2933,9036
39692,2903,8990,20586,14571
39693,14571,20586,9036,2934
39694,8991,2903,14571,20587
39695,2904,8991,20587,14721
39696,14721,20587,9037,2935
39697,20587,14571,2934,9037
39698,8992,2904,14721,20588
39699,20588,14721,2935,9038
39700,2905,8992,20588,14871
39701,14871,20588,9038,2936
39702,8993,2905,14871,20589
39703,20589,14871,2936,9039
39704,2906,8993,20589,15021
39705,15021,20589,9039,2937
39706,8994,2906,15021,20590
39707,20590,15021,2937,9040
39708,2907,8994,20590,15171
39709,15171,20590,9040,2938
39710,8995,2907,15171,20591
39711,20591,15171,2938,9041
39712,2908,8995,20591,15321
39713,15321,20591,9041,2939
39714,8996,2908,15321,20592
39715,2909,8996,20592,15471
39716,15471,20592,9042,2940
39717,20592,15321,2939,9042
39718,8997,2909,15471,20593
39719,20593,15471,2940,9043
39720,9000,8997,20593,20594
39721,20594,20593,9043,9046
39722,8998,9000,20594,20595
39723,20595,20594,9046,9044
39724,9001,8998,20595,20596
39725,20596,20595,9044,9047
39726,8999,9001,20596,20597
39727,20597,20596,9047,9045
39728,2910,8999,20597,15621
39729,15621,20597,9045,2941
39730,9002,2910,15621,20598
39731,20598,15621,2941,9048
39732,2911,9002,20598,15771
39733,15771,20598,9048,2942
39734,9003,2911,15771,20599
39735,2912,9003,20599,15921
39736,15921,20599,9049,2943
39737,20599,15771,2942,9049
39738,9004,2912,15921,20600
39739,20600,15921,2943,9050
39740,2913,9004,20600,16071
39741,16071,20600,9050,2944
39742,9005,2913,16071,20601
39743,20601,16071,2944,9051
39744,2914,9005,20601,16221
39745,16221,20601,9051,2945
39746,9006,2915,11722,20602
39747,20602,11722,2946,9052
39748,2916,9006,20602,11872
39749,11872,20602,9052,2947
39750,9007,2916,11872,20603
39751,20603,11872,2947,9053
39752,2917,9007,20603,12022
39753,12022,20603,9053,2948
39754,9008,2917,12022,20604
39755,2918,9008,20604,12172
39756,12172,20604,9054,2949
39757,20604,12022,2948,9054
39758,9009,2918,12172,20605
39759,20605,12172,2949,9055
39760,2919,9009,20605,12322
39761,12322,20605,9055,2950
39762,9010,2919,12322,20606
39763,20606,12322,2950,9056
39764,9013,9010,20606,20607
39765,20607,20606,9056,9059
39766,9011,9013,20607,20608
39767,20608,20607,9059,9057
39768,9014,9011,20608,20609
39769,20609,20608,9057,9060
39770,9012,9014,20609,20610
39771,20610,20609,9060,9058
39772,2920,9012,20610,12472
39773,12472,20610,9058,2951
39774,9015,2920,12472,20611
39775,2921,9015,20611,12622
39776,12622,20611,9061,2952
39777,20611,12472,2951,9061
39778,9016,2921,12622,20612
39779,20612,12622,2952,9062
39780,2922,9016,20612,12772
39781,12772,20612,9062,2953
39782,9017,2922,12772,20613
39783,20613,12772,2953,9063
39784,2923,9017,20613,12922
39785,12922,20613,9063,2954
39786,9018,2923,12922,20614
39787,20614,12922,2954,9064
39788,2924,9018,20614,13072
39789,13072,20614,9064,2955
39790,9019,2924,13072,20615
39791,20615,13072,2955,9065
39792,2925,9019,20615,13222
39793,13222,20615,9065,2956
39794,9020,2925,13222,20616
39795,2926,9020,20616,13372
39796,13372,20616,9066,2957
39797,20616,13222,2956,9066
39798,9021,2926,13372,20617
39799,20617,13372,2957,9067
39800,2927,9021,20617,13522
39801,13522,20617,9067,2958
39802,9022,2927,13522,20618
39803,20618,13522,2958,9068
39804,2928,9022,20618,13672
39805,13672,20618,9068,2959
39806,9023,2928,13672,20619
39807,20619,13672,2959,9069
39808,9026,9023,20619,20620
39809,20620,20619,9069,9072
39810,9024,9026,20620,20621
39811,20621,20620,9072,9070
39812,9027,9024,20621,20622
39813,20622,20621,9070,9073
39814,9025,9027,20622,20623
39815,20623,20622,9073,9071
39816,2929,9025,20623,13822
39817,13822,20623,9071,2960
39818,9028,2929,13822,20624
39819,20624,13822,2960,9074
39820,2930,9028,20624,13972
39821,13972,20624,9074,2961
39822,9029,2930,13972,20625
39823,20625,13972,2961,9075
39824,2931,9029,20625,14122
39825,14122,20625,9075,2962
39826,9030,2931,14122,20626
39827,20626,14122,2962,9076
39828,9033,9030,20626,20627
39829,20627,20626,9076,9079
39830,9031,9033,20627,20628
39831,20628,20627,9079,9077
39832,9034,9031,20628,20629
39833,20629,20628,9077,9080
39834,9032,9034,20629,20630
39835,20630,20629,9080,9078
39836,2932,9032,20630,14272
39837,14272,20630,9078,2963
39838,9035,2932,14272,20631
39839,20631,14272,2963,9081
39840,2933,9035,20631,14422
39841,14422,20631,9081,2964
39842,9036,2933,14422,20632
39843,20632,14422,2964,9082
39844,2934,9036,20632,14572
39845,14572,20632,9082,2965
39846,9037,2934,14572,20633
39847,2935,9037,20633,14722
39848,14722,20633,9083,2966
39849,20633,14572,2965,9083
39850,9038,2935,14722,20634
39851,20634,14722,2966,9084
39852,2936,9038,20634,14872
39853,14872,20634,9084,2967
39854,9039,2936,14872,20635
39855,20635,14872,2967,9085
39856,2937,9039,20635,15022
39857,15022,20635,9085,2968
39858,9040,2937,15022,20636
39859,20636,15022,2968,9086
39860,2938,9040,20636,15172
39861,15172,20636,9086,2969
39862,9041,2938,15172,20637
39863,20637,15172,2969,9087
39864,2939,9041,20637,15322
39865,15322,20637,9087,2970
39866,9042,2939,15322,20638
39867,2940,9042,20638,15472
39868,15472,20638,9088,2971
39869,20638,15322,2970,9088
39870,9043,2940,15472,20639
39871,20639,15472,2971,9089
39872,9046,9043,20639,20640
39873,20640,20639,9089,9092
39874,9044,9046,20640,20641
39875,20641,20640,9092,9090
39876,9047,9044,20641,20642
39877,20642,20641,9090,9093
39878,9045,9047,20642,20643
39879,20643,20642,9093,9091
39880,2941,9045,20643,15622
39881,15622,20643,9091,2972
39882,9048,2941,15622,20644
39883,20644,15622,2972,9094
39884,2942,9048,20644,15772
39885,15772,20644,9094,2973
39886,9049,2942,15772,20645
39887,2943,9049,20645,15922
39888,15922,20645,9095,2974
39889,20645,15772,2973,9095
39890,9050,2943,15922,20646
39891,20646,15922,2974,9096
39892,2944,9050,20646,16072
39893,16072,20646,9096,2975
39894,9051,2944,16072,20647
39895,20647,16072,2975,9097
39896,2945,9051,20647,16222
39897,16222,20647,9097,2976
39898,9052,2946,11723,20648
39899,20648,11723,2977,9098
39900,2947,9052,20648,11873
39901,11873,20648,9098,2978
39902,9053,2947,11873,20649
39903,20649,11873,2978,9099
39904,2948,9053,20649,12023
39905,12023,20649,9099,2979
39906,9054,2948,12023,20650
39907,2949,9054,20650,12173
39908,12173,20650,9100,2980
39909,20650,12023,2979,9100
39910,9055,2949,12173,20651
39911,20651,12173,2980,9101
39912,2950,9055,20651,12323
39913,12323,20651,9101,2981
39914,9056,2950,12323,20652
39915,20652,12323,2981,9102
39916,9059,9056,20652,20653
39917,20653,20652,9102,9105
39918,9057,9059,20653,20654
39919,20654,20653,9105,9103
39920,9060,9057,20654,20655
39921,20655,20654,9103,9106
39922,9058,9060,20655,20656
39923,20656,20655,9106,9104
39924,2951,9058,20656,12473
39925,12473,20656,9104,2982
39926,9061,2951,12473,20657
39927,2952,9061,20657,12623
39928,12623,20657,9107,2983
39929,20657,12473,2982,9107
39930,9062,2952,12623,20658
39931,20658,12623,2983,9108
39932,2953,9062,20658,12773
39933,12773,20658,9108,2984
39934,9063,2953,12773,20659
39935,20659,12773,2984,9109
39936,2954,9063,20659,12923
39937,12923,20659,9109,2985
39938,9064,2954,12923,20660
39939,20660,12923,2985,9110
39940,2955,9064,20660,13073
39941,13073,20660,9110,2986
39942,9065,2955,13073,20661
39943,20661,13073,2986,9111
39944,2956,9065,20661,13223
39945,13223,20661,9111,2987
39946,9066,2956,13223,20662
39947,2957,9066,20662,13373
39948,13373,20662,9112,2988
39949,20662,13223,2987,9112
39950,9067,2957,13373,20663
39951,20663,13373,2988,9113
39952,2958,9067,20663,13523
39953,13523,20663,9113,2989
39954,9068,2958,13523,20664
39955,20664,13523,2989,9114
39956,2959,9068,20664,13673
39957,13673,20664,9114,2990
39958,9069,2959,13673,20665
39959,20665,13673,2990,9115
39960,9072,9069,20665,20666
39961,20666,20665,9115,9118
39962,9070,9072,20666,20667
39963,20667,20666,9118,9116
39964,9073,9070,20667,20668
39965,20668,20667,9116,9119
39966,9071,9073,20668,20669
39967,20669,20668,9119,9117
39968,2960,9071,20669,13823
39969,13823,20669,9117,2991
39970,9074,2960,13823,20670
39971,20670,13823,2991,9120
39972,2961,9074,20670,13973
39973,13973,20670,9120,2992
39974,9075,2961,13973,20671
39975,20671,13973,2992,9121
39976,2962,9075,20671,14123
39977,14123,20671,9121,2993
39978,9076,2962,14123,20672
39979,20672,14123,2993,9122
39980,9079,9076,20672,20673
39981,20673,20672,9122,9125
39982,9077,9079,20673,20674
39983,20674,20673,9125,9123
39984,9080,9077,20674,20675
39985,20675,20674,9123,9126
39986,9078,9080,20675,20676
39987,20676,20675,9126,9124
39988,2963,9078,20676,14273
39989,14273,20676,9124,2994
39990,9081,2963,14273,20677
39991,20677,14273,2994,9127
39992,2964,9081,20677,14423
39993,14423,20677,9127,2995
39994,9082,2964,14423,20678
39995,20678,14423,2995,9128
39996,2965,9082,20678,14573
39997,14573,20678,9128,2996
39998,9083,2965,14573,20679
39999,2966,9083,20679,14723
40000,14723,20679,9129,2997
40001,20679,14573,2996,9129
40002,9084,2966,14723,20680
40003,20680,14723,2997,9130
40004,2967,9084,20680,14873
40005,14873,20680,9130,2998
40006,9085,2967,14873,20681
40007,20681,14873,2998,9131
40008,2968,9085,20681,15023
40009,15023,20681,9131,2999
40010,9086,2968,15023,20682
40011,20682,15023,2999,9132
40012,2969,9086,20682,15173
40013,15173,20682,9132,3000
40014,9087,2969,15173,20683
40015,20683,15173,3000,9133
40016,2970,9087,20683,15323
40017,15323,20683,9133,3001
40018,9088,2970,15323,20684
40019,2971,9088,20684,15473
40020,15473,20684,9134,3002
40021,20684,15323,3001,9134
40022,9089,2971,15473,20685
40023,20685,15473,3002,9135
40024,9092,9089,20685,20686
40025,20686,20685,9135,9138
40026,9090,9092,20686,20687
40027,20687,20686,9138,9136
40028,9093,9090,20687,20688
40029,20688,20687,9136,9139
40030,9091,9093,20688,20689
40031,20689,20688,9139,9137
40032,2972,9091,20689,15623
40033,15623,20689,9137,3003
40034,9094,2972,15623,20690
40035,20690,15623,3003,9140
40036,2973,9094,20690,15773
40037,15773,20690,9140,3004
40038,9095,2973,15773,20691
40039,2974,9095,20691,15923
40040,15923,20691,9141,3005
40041,20691,15773,3004,9141
40042,9096,2974,15923,20692
40043,20692,15923,3005,9142
40044,2975,9096,20692,16073
40045,16073,20692,9142,3006
40046,9097,2975,16073,20693
40047,20693,16073,3006,9143
40048,2976,9097,20693,16223
40049,16223,20693,9143,3007
40050,9098,2977,11724,20694
40051,20694,11724,3008,9144
40052,2978,9098,20694,11874
40053,11874,20694,9144,3009
40054,9099,2978,11874,20695
40055,20695,11874,3009,9145
40056,2979,9099,20695,12024
40057,12024,20695,9145,3010
40058,9100,2979,12024,20696
40059,2980,9100,20696,12174
40060,12174,20696,9146,3011
40061,20696,12024,3010,9146
40062,9101,2980,12174,20697
40063,20697,12174,3011,9147
40064,2981,9101,20697,12324
40065,12324,20697,9147,3012
40066,9102,2981,12324,20698
40067,20698,12324,3012,9148
40068,9105,9102,20698,20699
40069,20699,20698,9148,9151
40070,9103,9105,20699,20700
40071,20700,20699,9151,9149
40072,9106,9103,20700,20701
40073,20701,20700,9149,9152
40074,9104,9106,20701,20702
40075,20702,20701,9152,9150
40076,2982,9104,20702,12474
40077,12474,20702,9150,3013
40078,9107,2982,12474,20703
40079,2983,9107,20703,12624
40080,12624,20703,9153,3014
40081,20703,12474,3013,9153
40082,9108,2983,12624,20704
40083,20704,12624,3014,9154
40084,2984,9108,20704,12774
40085,12774,20704,9154,3015
40086,9109,2984,12774,20705
40087,20705,12774,3015,9155
40088,2985,9109,20705,12924
40089,12924,20705,9155,3016
40090,9110,2985,12924,20706
40091,20706,12924,3016,9156
40092,2986,9110,20706,13074
40093,13074,20706,9156,3017
40094,9111,2986,13074,20707
40095,20707,13074,3017,9157
40096,2987,9111,20707,13224
40097,13224,20707,9157,3018
40098,9112,2987,13224,20708
40099,2988,9112,20708,13374
40100,13374,20708,9158,3019
40101,20708,13224,3018,9158
40102,9113,2988,13374,20709
40103,20709,13374,3019,9159
40104,2989,9113,20709,13524
40105,13524,20709,9159,3020
40106,9114,2989,13524,20710
40107,20710,13524,3020,9160
40108,2990,9114,20710,13674
40109,13674,20710,9160,3021
40110,9115,2990,13674,20711
40111,20711,13674,3021,9161
40112,9118,9115,20711,20712
40113,20712,20711,9161,9164
40114,9116,9118,20712,20713
40115,20713,20712,9164,9162
40116,9119,9116,20713,20714
40117,20714,20713,9162,9165
40118,9117,9119,20714,20715
40119,20715,20714,9165,9163
40120,2991,9117,20715,13824
40121,13824,20715,9163,3022
40122,9120,2991,13824,20716
40123,20716,13824,3022,9166
40124,2992,9120,20716,13974
40125,13974,20716,9166,3023
40126,9121,2992,13974,20717
40127,20717,13974,3023,9167
40128,2993,9121,20717,14124
40129,14124,20717,9167,3024
40130,9122,2993,14124,20718
40131,20718,14124,3024,9168
40132,9125,9122,20718,20719
40133,20719,20718,9168,9171
40134,9123,9125,20719,20720
40135,20720,20719,9171,9169
40136,9126,9123,20720,20721
40137,20721,20720,9169,9172
40138,9124,9126,20721,20722
40139,20722,20721,9172,9170
40140,2994,9124,20722,14274
40141,14274,20722,9170,3025
40142,9127,2994,14274,20723
40143,20723,14274,3025,9173
40144,2995,9127,20723,14424
40145,14424,20723,9173,3026
40146,9128,2995,14424,20724
40147,20724,14424,3026,9174
40148,2996,9128,20724,14574
40149,14574,20724,9174,3027
40150,9129,2996,14574,20725
40151,2997,9129,20725,14724
40152,14724,20725,9175,3028
40153,20725,14574,3027,9175
40154,9130,2997,14724,20726
40155,20726,14724,3028,9176
40156,2998,9130,20726,14874
40157,14874,20726,9176,3029
40158,9131,2998,14874,20727
40159,20727,14874,3029,9177
40160,2999,9131,20727,15024
40161,15024,20727,9177,3030
40162,9132,2999,15024,20728
40163,20728,15024,3030,9178
40164,3000,9132,20728,15174
40165,15174,20728,9178,3031
40166,9133,3000,15174,20729
40167,20729,15174,3031,9179
40168,3001,9133,20729,15324
40169,15324,20729,9179,3032
40170,9134,3001,15324,20730
40171,3002,9134,20730,15474
40172,15474,20730,9180,3033
40173,20730,15324,3032,9180
40174,9135,3002,15474,20731
40175,20731,15474,3033,9181
40176,9138,9135,20731,20732
40177,20732,20731,9181,9184
40178,9136,9138,20732,20733
40179,20733,20732,9184,9182
40180,9139,9136,20733,20734
40181,20734,20733,9182,9185
40182,9137,9139,20734,20735
40183,20735,20734,9185,9183
40184,3003,9137,20735,15624
40185,15624,20735,9183,3034
40186,9140,3003,15624,20736
40187,20736,15624,3034,9186
40188,3004,9140,20736,15774
40189,15774,20736,9186,3035
40190,9141,3004,15774,20737
40191,3005,9141,20737,15924
40192,15924,20737,9187,3036
40193,20737,15774,3035,9187
40194,9142,3005,15924,20738
40195,20738,15924,3036,9188
40196,3006,9142,20738,16074
40197,16074,20738,9188,3037
40198,9143,3006,16074,20739
40199,20739,16074,3037,9189
40200,3007,9143,20739,16224
40201,16224,20739,9189,3038
40202,9144,3008,11725,20740
40203,20740,11725,3039,9190
40204,3009,9144,20740,11875
40205,11875,20740,9190,3040
40206,9145,3009,11875,20741
40207,20741,11875,3040,9191
40208,3010,9145,20741,12025
40209,12025,20741,9191,3041
40210,9146,3010,12025,20742
40211,3011,9146,20742,12175
40212,12175,20742,9192,3042
40213,20742,12025,3041,9192
40214,9147,3011,12175,20743
40215,20743,12175,3042,9193
40216,3012,9147,20743,12325
40217,12325,20743,9193,3043
40218,9148,3012,12325,20744
40219,20744,12325,3043,9194
40220,9151,9148,20744,20745
